"Id","ParentId","CommentBody","CreatedById","CreatedDate","LastModifiedDate","IsPublished","IsDeleted"
"00aQk00000CgTEnIAN","500Qk00000NRDDlIAP","On Escalation Ticket # 00440355 the Following Fields have been updated: 
Status has been changed to Awaiting Escalating Engineer.","0054u000006gtWUAAY","2025-04-02T13:24:02.000Z","2025-04-02T13:24:02.000Z","false","false"
"00aQk00000CgTEpIAN","500Qk00000NRDDlIAP","On Escalation Ticket # 00440355 the new comment has been added: Michael Burrofato:

@Adam DeSapio @Salesforce @WaitingOnEngineer Can you please provide us with the following artifacts:

Logs and job xml for the dfs scan, fsaa scan with dfs host list, bi with dfs host list for the 11.6 and 12.0 example

[DevOps CommentId:11880154]","0054u000006gtWUAAY","2025-04-02T13:24:03.000Z","2025-04-02T13:24:03.000Z","false","false"
"00aQk00000CgWfiIAF","500Qk00000NRDDlIAP","On Escalation Ticket # 00440355 the new comment has been added: Exported the DFS FSAA group for both lab environments with fresh runs. Let me know if anything is missing!","0054u000007MiY9AAK","2025-04-02T14:04:11.000Z","2025-04-02T14:04:11.000Z","false","false"
"00aQk00000CgWkXIAV","500Qk00000NRDDlIAP","On Escalation Ticket # 00440355 the Following Fields have been updated: 
Status has been changed to Awaiting R&D.","0054u000007MiY9AAK","2025-04-02T14:04:32.000Z","2025-04-02T14:04:32.000Z","false","false"
"00aQk00000Ci59xIAB","500Qk00000NRDDlIAP","On Escalation Ticket # 00440355 the Following Fields have been updated: 
Status has been changed to Awaiting Escalating Engineer.","0054u000006gtWUAAY","2025-04-03T15:16:29.000Z","2025-04-03T15:16:29.000Z","false","false"
"00aQk00000Ci59zIAB","500Qk00000NRDDlIAP","On Escalation Ticket # 00440355 the new comment has been added: Adam DeSapio:

@Salesforce @WaitingOnEngineer

In regards to Repro Step 1: Were the Tier2 SQLite DBs dropped in addition to Tier1 SQL data? This would have to be done for all the hosts in your DFS HOST LIST which appears to be: 

	 - 	TCALIGUIRI-DC02.SANDBOX.TCALIGUIRI.LOCAL

	 - 	TCALIGUIRI-FS.TCALIGUIRI.LOCAL



The 12.0 job log is not set to debug level so it's useless.

It may be helpful to see how the 11.6 and 12.0 AIC are configured in Home > Configuration > Database,
and make sure the storage profiles used for the respective 11.6/12.0 jobs match.
According to the job xmls, these should be the databases in the profiles ""Audit"" for 11.6 and ""NewProfile1"" for 12.0.

[DevOps CommentId:11887856]","0054u000006gtWUAAY","2025-04-03T15:16:30.000Z","2025-04-03T15:16:30.000Z","false","false"
"00aQk00000Cjp14IAB","500Qk00000NRDDlIAP","On Escalation Ticket # 00440355 the new comment has been added: Uploaded new artifacts including debug logs. DC2 is not scanned on the 12.0, that is why you won't see anything for it.","0054u000007MiY9AAK","2025-04-04T19:42:03.000Z","2025-04-04T19:42:03.000Z","false","false"
"00aQk00000Cjp7VIAR","500Qk00000NRDDlIAP","On Escalation Ticket # 00440355 the Following Fields have been updated: 
Status has been changed to Awaiting R&D.","0054u000007MiY9AAK","2025-04-04T19:42:39.000Z","2025-04-04T19:42:39.000Z","false","false"
"00aQk00000CjtKnIAJ","500Qk00000NRDDlIAP","On Escalation Ticket # 00440355 the Following Fields have been updated: 
Status has been changed to Awaiting Escalating Engineer.","0054u000006gtWUAAY","2025-04-04T20:29:57.000Z","2025-04-04T20:29:57.000Z","false","false"
"00aQk00000CjtKpIAJ","500Qk00000NRDDlIAP","On Escalation Ticket # 00440355 the new comment has been added: Adam DeSapio:

@Salesforce @WaitingOnEngineer

11.6 FSAA.png has a TCALIGUIRI-FS host folder. This host's data not dropped? I think that is causing issues

[DevOps CommentId:11894049]","0054u000006gtWUAAY","2025-04-04T20:29:58.000Z","2025-04-04T20:29:58.000Z","false","false"
