"Id","ParentId","CommentBody","CreatedById","CreatedDate","LastModifiedDate","IsPublished","IsDeleted"
"00aQk000007OmNdIAK","500Qk00000BppDRIAZ","On Escalation Ticket # 00412177 the Following Fields have been updated: 
Account ACV has been changed to 5443903.80.
Priority has been changed to Medium.","0054u000006goPuAAI","2024-06-18T08:47:01.000Z","2024-06-18T08:47:01.000Z","false","false"
"00aQk000007OmPFIA0","500Qk00000BppDRIAZ","On Escalation Ticket # 00412177 the Following Fields have been updated: 
Account ACV has been changed to 2721951.90.","0054u000006goPuAAI","2024-06-18T08:47:03.000Z","2024-06-18T08:47:03.000Z","false","false"
"00aQk000007RZaLIAW","500Qk00000BppDRIAZ","On Escalation Ticket # 00412177 the Following Fields have been updated: 
Priority has been changed to High.","0054u000006goPuAAI","2024-06-20T08:24:35.000Z","2024-06-20T08:24:35.000Z","false","false"
"00aQk000007Rb4HIAS","500Qk00000BppDRIAZ","Fix provided in ticket 385795
https://nwxcorp.lightning.force.com/lightning/r/General__kav/ka0Qk0000003ILNIA2/view","0054u000006goPuAAI","2024-06-20T08:54:46.000Z","2024-06-20T08:54:46.000Z","false","false"
"00aQk000007Rp5fIAC","500Qk00000BppDRIAZ","On Escalation Ticket # 00412177 the new comment has been added: TaggingService_20XX_XX_XX.log produced every time the XmlTagParser.exe is called. 
This only occurred after hotfix was provided and customer is concerned that this was missed during testing. 
Can we review this as a priority as the customer has lost confidence in testing process due to this coming through after implementing into their environment","0054u000006goPuAAI","2024-06-20T12:40:55.000Z","2024-06-20T12:40:55.000Z","false","false"
"00aQk000007RlIAIA0","500Qk00000BppDRIAZ","On Escalation Ticket # 00412177 the Following Fields have been updated: 
Priority has been changed to Critical.","0054u000006goPuAAI","2024-06-20T12:41:11.000Z","2024-06-20T12:41:11.000Z","false","false"
"00aQk000007Xc47IAC","500Qk00000BppDRIAZ","On Escalation Ticket # 00412177 the new comment has been added: Are you able to provide which sprint this is being assigned to so I can track progress on this?","0054u000006goPuAAI","2024-06-25T13:10:05.000Z","2024-06-25T13:10:05.000Z","false","false"
"00aQk000007XdHvIAK","500Qk00000BppDRIAZ","On Escalation Ticket # 00412177 the Following Fields have been updated: 
Status has been changed to Awaiting Escalating Engineer.","0054u000006gtWUAAY","2024-06-25T13:39:25.000Z","2024-06-25T13:39:25.000Z","false","false"
"00aQk000007XdHxIAK","500Qk00000BppDRIAZ","On Escalation Ticket # 00412177 the new comment has been added: Michael Rubacky:

@Salesforce 

This has just been pulled on to the current sprint and is at the top of the priority order

[DevOps CommentId:10489633]","0054u000006gtWUAAY","2024-06-25T13:39:26.000Z","2024-06-25T13:39:26.000Z","false","false"
"00aQk000007cMMsIAM","500Qk00000BppDRIAZ","On Escalation Ticket # 00412177 the Following Fields have been updated: 
Status has been changed to Awaiting Client.","0054u000006goPuAAI","2024-06-28T10:52:29.000Z","2024-06-28T10:52:29.000Z","false","false"
