"Id","ParentId","CommentBody","CreatedById","CreatedDate","LastModifiedDate","IsPublished","IsDeleted"
"00aQk000007xSXKIA2","500Qk00000D8A4LIAV","On Escalation Ticket # 00415105 the Following Fields have been updated: 
Account ACV has been changed to 2740320.00.
Priority has been changed to Low.","005Qk000001nViFIAU","2024-07-16T13:26:12.000Z","2024-07-16T13:26:12.000Z","false","false"
"00aQk000007xUE9IAM","500Qk00000D8A4LIAV","On Escalation Ticket # 00415105 the Following Fields have been updated: 
Account ACV has been changed to 1370160.00.","005Qk000001nViFIAU","2024-07-16T13:26:13.000Z","2024-07-16T13:26:13.000Z","false","false"
"00aQk000007yzpRIAQ","500Qk00000D8A4LIAV","On Escalation Ticket # 00415105 the new comment has been added: Adrian Ivascu:

We had this issue but cannot be reproduced now on 710 or 720.
https://dev.azure.com/NetwrixCorporation/CoSoSys-Unify/_workitems/edit/340617
@Cecilia-Maria Iepure 

[DevOps CommentId:10585043]","0054u000006gtWUAAY","2024-07-17T14:54:27.000Z","2024-07-17T14:54:27.000Z","false","false"
"00aQk000007yzpSIAQ","500Qk00000D8A4LIAV","On Escalation Ticket # 00415105 the new comment has been added: Michael Paye:

[Force comment sync]

[DevOps CommentId:10587472]","0054u000006gtWUAAY","2024-07-17T14:54:27.000Z","2024-07-17T14:54:27.000Z","false","false"
"00aQk0000080Il7IAE","500Qk00000D8A4LIAV","On Escalation Ticket # 00415105 the Following Fields have been updated: 
Status has been changed to Awaiting Escalating Engineer.","0054u000006gtWUAAY","2024-07-18T13:06:01.000Z","2024-07-18T13:06:01.000Z","false","false"
"00aQk0000080Il9IAE","500Qk00000D8A4LIAV","On Escalation Ticket # 00415105 the new comment has been added: Cecilia-Maria Iepure:

@WaitingOnEngineer 
Bug reported already by our QA team and it's fixed, will be released in 7.2.0

[DevOps CommentId:10592136]","0054u000006gtWUAAY","2024-07-18T13:06:02.000Z","2024-07-18T13:06:02.000Z","false","false"
"00aQk0000081hUXIAY","500Qk00000D8A4LIAV","On Escalation Ticket # 00415105 the Following Fields have been updated: 
Status has been changed to Awaiting Client.","005Qk000001nViFIAU","2024-07-19T12:50:37.000Z","2024-07-19T12:50:37.000Z","false","false"
"00aQk0000081hXlIAI","500Qk00000D8A4LIAV","On Escalation Ticket # 00415105 the Following Fields have been updated: 
Status has been changed to Awaiting Escalating Engineer.","0054u000006gtWUAAY","2024-07-19T12:50:48.000Z","2024-07-19T12:50:48.000Z","false","false"
"00aQk000008A1kdIAC","500Qk00000D8A4LIAV","On Escalation Ticket # 00415105 the new comment has been added: -- DevOps Automation Assistant --

This escalation has been in the status 'Awaiting Support' since 2024-07-18 13:06 UTC and no response has been detected.

If this escalation has been resolved with the customer, please add a comment so this can be closed in Azure DevOps.

@WaitingOnEngineer

[DevOps CommentId:10632864]","0054u000006gtWUAAY","2024-07-26T05:00:42.000Z","2024-07-26T05:00:42.000Z","false","false"
"00aQk000008IVlWIAW","500Qk00000D8A4LIAV","On Escalation Ticket # 00415105 the new comment has been added: -- DevOps Automation Assistant --

This escalation has been in the status 'Awaiting Support' since 2024-07-18 13:06 UTC and no response has been detected.

If this escalation has been resolved with the customer, please add a comment so this can be closed in Azure DevOps.

@WaitingOnEngineer

[DevOps CommentId:10676771]","0054u000006gtWUAAY","2024-08-02T05:00:50.000Z","2024-08-02T05:00:50.000Z","false","false"
