"Id","ParentId","CommentBody","CreatedById","CreatedDate","LastModifiedDate","IsPublished","IsDeleted"
"00aQk00000CGqzrIAD","500Qk00000MbywdIAB","On Escalation Ticket # 00438483 the Following Fields have been updated: 
Account ACV has been changed to 8768681.316666666690.
Priority has been changed to Low.","005Qk000001nViKIAU","2025-03-11T20:47:28.000Z","2025-03-11T20:47:28.000Z","false","false"
"00aQk00000CGu49IAD","500Qk00000MbywdIAB","On Escalation Ticket # 00438483 the Following Fields have been updated: 
Account ACV has been changed to 4384340.658333333345.","005Qk000001nViKIAU","2025-03-11T20:47:29.000Z","2025-03-11T20:47:29.000Z","false","false"
"00aQk00000CNMYrIAP","500Qk00000MbywdIAB","On Escalation Ticket # 00438483 the new comment has been added: Hi Team,

When time allows please take a look over this ticket.

Thank you!
Flaviu","005Qk000001nViKIAU","2025-03-17T17:26:53.000Z","2025-03-17T17:26:53.000Z","false","false"
"00aQk00000COUR3IAP","500Qk00000MbywdIAB","On Escalation Ticket # 00438483 the Following Fields have been updated: 
Status has been changed to Awaiting Escalating Engineer.","0054u000006gtWUAAY","2025-03-18T13:23:55.000Z","2025-03-18T13:23:55.000Z","false","false"
"00aQk00000COUR5IAP","500Qk00000MbywdIAB","On Escalation Ticket # 00438483 the new comment has been added: Oana-Cristina Rus:

Hi,

The attachments folder returns 404. Can you upload the recording?


@WaitingOnEngineer

[DevOps CommentId:11800988]","0054u000006gtWUAAY","2025-03-18T13:23:56.000Z","2025-03-18T13:23:56.000Z","false","false"
"00aQk00000COS2hIAH","500Qk00000MbywdIAB","On Escalation Ticket # 00438483 the new comment has been added: Hi Team,

Please find the recording here:
https://nwxcorp.sharepoint.com/sites/CustomerSupportFiles/Data/00437881

Thank you!
Flaviu","005Qk000001nViKIAU","2025-03-18T13:37:08.000Z","2025-03-18T13:37:08.000Z","false","false"
"00aQk00000COg0oIAD","500Qk00000MbywdIAB","On Escalation Ticket # 00438483 the new comment has been added: Oana-Cristina Rus:

Hi,

Question: Why does this customer want to use HTTP instead of HTTPS?





Did you check the Nginx file? 


--- CODE ---
vim /etc/nginx/sites-enabled/epp.nginx.conf
--- CODE ---

Please share with us the following information, if possible:




1. It listens on port 443?

2. Is SSL enabled (ssl on)?

3. Is has an SSL certificate (ssl_certificate and ssl_certificate_key)?





If the answer to all of these questions is ""yes"" then HTTP (http://) will NOT work, and users will only be able to access the site via HTTPS (https://).





If not share with us the information that you have in the Nginx file.




@WaitingOnEngineer

[DevOps CommentId:11802247]","0054u000006gtWUAAY","2025-03-18T15:15:10.000Z","2025-03-18T15:15:10.000Z","false","false"
"00aQk00000CP3i9IAD","500Qk00000MbywdIAB","On Escalation Ticket # 00438483 the Following Fields have been updated: 
Status has been changed to Awaiting Client.","005Qk000001nViKIAU","2025-03-18T18:56:23.000Z","2025-03-18T18:56:23.000Z","false","false"
"00aQk00000CTIDzIAP","500Qk00000MbywdIAB","On Escalation Ticket # 00438483 the new comment has been added: Hi Team,

I dont think that is correct. I have tested this on my side and a colleagues side and with the exact same settings(port 443, ssl=on and the 2 ssl cert files) present we can both access the client download page(http). To my knowledge these settings are the default ones. I will attach a screenshot with the settings on my end and the page working. 

Also I made screenshots of the entire epp.nginx.conf file and added them to the attachment folder.

Attachments in New remote session folder: https://nwxcorp.sharepoint.com/sites/CustomerSupportFiles/Data/00437881

Please advise.

Thank you!
Flaviu","005Qk000001nViKIAU","2025-03-21T20:31:17.000Z","2025-03-21T20:31:17.000Z","false","false"
"00aQk00000CTNITIA5","500Qk00000MbywdIAB","On Escalation Ticket # 00438483 the Following Fields have been updated: 
Account ACV has been changed to 4400840.658333333345.","0054u000006gtWUAAY","2025-03-21T20:31:31.000Z","2025-03-21T20:31:31.000Z","false","false"
"00aQk00000CTH3OIAX","500Qk00000MbywdIAB","On Escalation Ticket # 00438483 the Following Fields have been updated: 
Product Version has been changed to NONE.
Status has been changed to Awaiting R&D.","005Qk000001nViKIAU","2025-03-21T20:31:35.000Z","2025-03-21T20:31:35.000Z","false","false"
"00aQk00000CTTSkIAP","500Qk00000MbywdIAB","On Escalation Ticket # 00438483 the new comment has been added: Hi Team,

Updating previous comment:

I dont think that is correct. I have tested this on my side and a colleagues side and with the exact same settings(port 443, ssl=on and the 2 ssl cert files) present we can both access the client download page(http). To my knowledge these settings are the default ones. I will attach a screenshot with the settings on my end and the page working. 

Also I made screenshots of the entire epp.nginx.conf file and added them to the attachment folder.

Attachments in New remote session folder: https://nwxcorp.sharepoint.com/sites/CustomerSupportFiles/Data/00437881

Customer also mentioned the below:
""
We recently upgraded our EPP server to 5.9.4.1 and the http non-encrypted version of the management page used to have a download link for downloading the client from the server, but it's no longer working.

I spoke to one of my colleagues and he said that he checked it immediately after the upgrade and it was working, but that does not seem to be the case anymore.
""

From what the customer said the issue happened after the upgrade.

Please advise.

Thank you!
Flaviu","005Qk000001nViKIAU","2025-03-21T22:01:58.000Z","2025-03-21T22:01:58.000Z","false","false"
"00aQk00000CV7cbIAD","500Qk00000MbywdIAB","On Escalation Ticket # 00438483 the Following Fields have been updated: 
Status has been changed to Awaiting Escalating Engineer.","0054u000006gtWUAAY","2025-03-24T10:57:44.000Z","2025-03-24T10:57:44.000Z","false","false"
"00aQk00000CV7cdIAD","500Qk00000MbywdIAB","On Escalation Ticket # 00438483 the new comment has been added: Oana-Cristina Rus:

Provide the requested information from the customer's side as well.


Did you check the Nginx file?



--- CODE ---
vim /etc/nginx/sites-enabled/epp.nginx.conf
--- CODE ---

Share with us the following information, if possible:

1. It listens on port 443?

2. Is SSL enabled (ssl on)?

3. Is has an SSL certificate (ssl_certificate and ssl_certificate_key)?

Did you check also the epp.http.nginx.conf? Do you have the epp.http.nginx.conf file at the location of /etc/nginx/sites-enabled/?

--- CODE ---
ls -la /etc/nginx/sites-enabled/
--- CODE ---

If not, what types of files are available there?
If yes check the file content and the port:

--- CODE ---
vim /etc/nginx/sites-enabled/epp.http.nginx.conf
--- CODE ---

Does it listen on port 80? Share the file content.

Did you check if the Nginx configuration is running and if the client has any errors?

--- CODE ---
nginx -t
service nginx restart
--- CODE ---


--- CODE ---@WaitingOnEngineer --- CODE ---

[DevOps CommentId:11830098]","0054u000006gtWUAAY","2025-03-24T10:57:45.000Z","2025-03-24T10:57:45.000Z","false","false"
